cord_uid,display_name,title,license,publish_time,journal,relevance_score,works_count,cited_by_count,last_known_institution,research_field,institution_name,institution_relevance_score,country_code,type,institution_cited_by_count,institution_main_research_field
ug7v899j,Tariq A Madani,"Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia",no-cc,2001-07-04,BMC Infect Dis,3130.199,88,5115,King Abdulaziz University,Medicine,King Abdulaziz University,80447.086,SA,education,1842725,Biology
ug7v899j,Aisha A Al-Ghamdi,"Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia",no-cc,2001-07-04,BMC Infect Dis,513.7164,23,102,King Abdulaziz University,Medicine,King Abdulaziz University,80447.086,SA,education,1842725,Biology
02tnwd4m,Albert van der Vliet,Nitric oxide: a pro-inflammatory mediator in lung disease?,no-cc,2000-08-15,Respir Res,4789.768,190,9210,University of Vermont,Biology,University of Vermont,63553.094,US,education,2799984,Biology
ip32y0j5,Sean A Diehl,Generation of Human Antigen-Specific Monoclonal IgM Antibodies Using Vaccinated “Human Immune System” Mice,cc-by,2010-10-04,PLoS One,2366.058,73,3446,University of Vermont,Medicine,University of Vermont,63553.094,US,education,2799984,Biology
2b73a28n,Karen A Fagan,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,2578.1917,89,4295,University of South Alabama,Medicine,University of South Alabama,42759.277,US,education,761598,Biology
2b73a28n,Ivan F McMurtry,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,4158.1865,289,8570,University of South Alabama,Medicine,University of South Alabama,42759.277,US,education,761598,Biology
c8snsa4z,Meir Mizrahi,Relapsing macrophage activating syndrome in a 15-year-old girl with Still's disease: a case report,cc-by,2009-11-19,J Med Case Reports,1595.1493,151,1036,University of South Alabama,Medicine,University of South Alabama,42759.277,US,education,761598,Biology
2b73a28n,David M Rodman,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,2502.7717,110,4499,ProQR Therapeutics,Medicine,ProQR Therapeutics,5695.0933,NL,company,8347,Biology
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
87zt7lew,Joseph B Domachowske,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
87zt7lew,Joseph B Domachowske,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
9785vg6d,Cynthia A Bonville,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,2039.4022,65,1827,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
