cord_uid,display_name,title,license,publish_time,full,relevance_score,works_count,cited_by_count,last_known_institution,research_field,institution_name,institution_relevance_score,country_code,type,institution_cited_by_count,institution_main_research_field,issn,journal_display_name,journal_publisher,journal_relevance_score,journal_cited_count,main_research_field
ug7v899j,Tariq A Madani,"Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia",no-cc,2001-07-04,BMC Infect Dis,3084.6128,107,5240,King Abdulaziz University,Medicine,King Abdulaziz University,81210.69,SA,education,1896975,Biology,,,,,,
ug7v899j,Aisha A Al-Ghamdi,"Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia",no-cc,2001-07-04,BMC Infect Dis,548.21704,29,122,King Abdulaziz University,Medicine,King Abdulaziz University,81210.69,SA,education,1896975,Biology,,,,,,
2ks9iimj,Hans P Duerr,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,,,,,,,,,,,,,,,,,
d37u3qbd,Richard Marquet,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Oswaldo G Cruz,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Sonia MO Zagne,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Elzinandes L Azeredo,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Rita MR Nogueira,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Patricia T Bozza,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Claire F Kubelka,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
0ybn2igj,Felix Neto,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,,,,,,,,,,,,,,,,,
gbdaad4l,Alexander NJ White,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,,,,,,,,,,,,,,,,,
gbdaad4l,Caroline C Johnson,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,,,,,,,,,,,,,,,,,
0tqwjdhd,Chris J Williams,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,,,,,,,,,,,,,,,,,
soi3bn6y,Denise R Silva,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,,,,,,,,,,,,,,,,,
soi3bn6y,Diego M Menegotto,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,,,,,,,,,,,,,,,,,
soi3bn6y,Paulo TR Dalcin,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,,,,,,,,,,,,,,,,,
480d3yfv,Spyridon A Papiris,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
zyaj90nh,Samuel YS Wong,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
zyaj90nh,Eliza LY Wong,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
zyaj90nh,Josette Chor,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,,,,,,,,,,,,,,,,,
0ybn2igj,Lynn B Myers,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,1897.1432,101,2395,University College London,Psychology,University College London,159520.45,GB,education,17373238,Biology,,,,,,
ajafw966,Fernando A Bozza,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,143.88998,1,12,Unknown,Unknown,,,,,,,,,,,,
soi3bn6y,Luis F Schulz,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,369.474,1,99,Unknown,Psychology,,,,,,,,,,,,
480d3yfv,Vasiliki Karagianni,Diagnostic value of triggering receptor expressed on myeloid cells-1 and C-reactive protein for patients with lung infiltrates: an observational study,cc-by,2010-09-29,BMC Infect Dis,375.19177,6,55,Unknown,Medicine,,,,,,,,,,,,
zyaj90nh,Paul KS Chan,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,8593.678,1754,41702,Chinese University of Hong Kong,Medicine,Chinese University of Hong Kong,163956.31,CN,education,7215467,Biology,,,,,,
zyaj90nh,Paul KS Chan,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,,1,0,Chinese University of Hong Kong,Unknown,Chinese University of Hong Kong,163956.31,CN,education,7215467,Biology,,,,,,
zyaj90nh,Kenny Kung,Willingness to accept H1N1 pandemic influenza vaccine: A cross-sectional study of Hong Kong community nurses,cc-by,2010-10-29,BMC Infect Dis,1048.0284,53,602,Chinese University of Hong Kong,Medicine,Chinese University of Hong Kong,163956.31,CN,education,7215467,Biology,,,,,,
gbdaad4l,David N Fisman,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,4827.0254,354,12015,University of Toronto,Medicine,University of Toronto,196969.58,CA,education,24651020,Biology,,,,,,
gbdaad4l,David N Fisman,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,4827.0254,354,12015,University of Toronto,Medicine,University of Toronto,196969.58,CA,education,24651020,Biology,,,,,,
gbdaad4l,Laura M Kinlin,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,839.7873,29,329,Hospital for Sick Children,Medicine,Hospital for Sick Children,88851.414,CA,healthcare,2002408,Medicine,,,,,,
ajafw966,Edson F Assis,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,1572.9644,28,1326,Oswaldo Cruz Foundation,Biology,Oswaldo Cruz Foundation,98824.445,BR,facility,1965063,Medicine,,,,,,
0tqwjdhd,Gérard Krause,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,4081.3665,461,11299,Helmholtz Centre for Infection Research,Medicine,Helmholtz Centre for Infection Research,41489.418,DE,facility,377651,Biology,,,,,,
0tqwjdhd,Gérard Krause,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,4081.3665,461,11299,Helmholtz Centre for Infection Research,Medicine,Helmholtz Centre for Infection Research,41489.418,DE,facility,377651,Biology,,,,,,
0tqwjdhd,Gérard Krause,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,4081.3665,461,11299,Helmholtz Centre for Infection Research,Medicine,Helmholtz Centre for Infection Research,41489.418,DE,facility,377651,Biology,,,,,,
hf3nytb2,Stefan O Brockmann,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1864.7804,90,1755,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
hf3nytb2,Stefan O Brockmann,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1864.7804,90,1755,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
2ks9iimj,Stefan O Brockmann,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1864.7804,90,1755,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
2ks9iimj,Stefan O Brockmann,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1864.7804,90,1755,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
0tqwjdhd,Brunhilde Schweiger,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3739.2566,196,4908,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
0tqwjdhd,Brunhilde Schweiger,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3739.2566,196,4908,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
0tqwjdhd,Udo Buchholz,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3628.4868,191,6413,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
0tqwjdhd,Udo Buchholz,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3628.4868,191,6413,Robert Koch Institute,Medicine,Robert Koch Institute,55135.39,DE,government,800263,Medicine,,,,,,
22rf9kuq,Paolo Marinelli,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,1415.5232,59,1165,Sapienza University of Rome,Medicine,Sapienza University of Rome,220728.28,IT,education,11547572,Biology,,,,,,
d37u3qbd,Adam Meijer,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,4555.8247,446,14724,National Institute for Public Health and the Environment,Biology,National Institute for Public Health and the Environment,45694.363,NL,facility,608060,Biology,,,,,,
hf3nytb2,Martin Eichner,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,2372.8547,161,3747,University of Tübingen,Medicine,,,,,,,,,,,,
hf3nytb2,Martin Eichner,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,2372.8547,161,3747,University of Tübingen,Medicine,,,,,,,,,,,,
2ks9iimj,Martin Eichner,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,2372.8547,161,3747,University of Tübingen,Medicine,,,,,,,,,,,,
2ks9iimj,Martin Eichner,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,2372.8547,161,3747,University of Tübingen,Medicine,,,,,,,,,,,,
hf3nytb2,Hans-Peter Duerr,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1317.0905,31,814,University of Tübingen,Medicine,,,,,,,,,,,,
hf3nytb2,Markus Schwehm,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1272.752,57,716,MorphoSys,Medicine,MorphoSys,9379.386,DE,company,39597,Biology,,,,,,
hf3nytb2,Markus Schwehm,The influenza pandemic preparedness planning tool InfluSim,cc-by,2007-03-13,BMC Infect Dis,1272.752,57,716,MorphoSys,Medicine,MorphoSys,9379.386,DE,company,39597,Biology,,,,,,
2ks9iimj,Markus Schwehm,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1272.752,57,716,MorphoSys,Medicine,MorphoSys,9379.386,DE,company,39597,Biology,,,,,,
2ks9iimj,Markus Schwehm,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1272.752,57,716,MorphoSys,Medicine,MorphoSys,9379.386,DE,company,39597,Biology,,,,,,
2ks9iimj,Isolde Piechotowski,Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,cc-by,2007-07-13,BMC Infect Dis,1987.3225,40,1075,Landesgesundheitsamt Baden-Württemberg,Medicine,,,,,,,,,,,,
0ybn2igj,Robin Goodwin,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,2241.1592,172,3479,University of Warwick,Psychology,University of Warwick,90584.56,GB,education,4456134,Physics,,,,,,
d37u3qbd,John Paget,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,1716.9819,157,2149,Netherlands Institute for Health Services Research,Medicine,Netherlands Institute for Health Services Research,20292.768,NL,other,129437,Medicine,,,,,,
d37u3qbd,Koos van der Velden,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,1786.0398,84,978,Radboud University Nijmegen,Medicine,Radboud University Nijmegen,208136.05,NL,education,8207103,Biology,,,,,,
22rf9kuq,Gabriella Di Giuseppe,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,1591.2522,71,1259,"University of Campania ""Luigi Vanvitelli""",Medicine,,,,,,,,,,,,
22rf9kuq,Luciana Albano,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,831.2503,25,377,"University of Campania ""Luigi Vanvitelli""",Medicine,,,,,,,,,,,,
22rf9kuq,Italo F Angelillo,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,4282.376,208,6568,"University of Campania ""Luigi Vanvitelli""",Medicine,,,,,,,,,,,,
22rf9kuq,Rossella Abbate,"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",cc-by,2008-03-17,BMC Infect Dis,1082.6647,8,498,Seconda Università degli Studi di Napoli,Medicine,,,,,,,,,,,,
1dus0u4m,Murat Civaner,"Can ""presumed consent"" justify the duty to treat infectious diseases? An analysis",cc-by,2008-03-06,BMC Infect Dis,895.5398,87,298,Uludağ University,Medicine,,,,,,,,,,,,
1dus0u4m,Berna Arda,"Can ""presumed consent"" justify the duty to treat infectious diseases? An analysis",cc-by,2008-03-06,BMC Infect Dis,784.286,171,277,Ankara University,Medicine,Ankara University,41967.293,TR,education,1129437,Biology,,,,,,
gbdaad4l,Victoria Ng,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,1120.4445,76,1040,Public Health Agency of Canada,Medicine,Public Health Agency of Canada,38679.668,CA,government,462676,Medicine,,,,,,
87mjdccj,Julien Arino,Antiviral resistance during pandemic influenza: implications for stockpiling and drug use,cc-by,2009-01-22,BMC Infect Dis,2073.4277,84,2268,University of Manitoba,Medicine,University of Manitoba,77917.94,CA,education,3900014,Biology,,,,,,
87mjdccj,Christopher S Bowman,Antiviral resistance during pandemic influenza: implications for stockpiling and drug use,cc-by,2009-01-22,BMC Infect Dis,,1,0,University of Manitoba,Unknown,University of Manitoba,77917.94,CA,education,3900014,Biology,,,,,,
87mjdccj,Seyed M Moghadas,Antiviral resistance during pandemic influenza: implications for stockpiling and drug use,cc-by,2009-01-22,BMC Infect Dis,2913.4153,182,3906,York University,Medicine,,,,,,,,,,,,
0tqwjdhd,Albert Nienhaus,"Seasonal influenza risk in hospital healthcare workers is more strongly associated with household than occupational exposures: results from a prospective cohort study in Berlin, Germany, 2006/07",cc-by,2010-01-12,BMC Infect Dis,3597.1792,518,6590,University Medical Center Hamburg-Eppendorf,Medicine,,,,,,,,,,,,
