cord_uid,display_name,title,license,publish_time,journal,relevance_score,works_count,cited_by_count,last_known_institution,research_field,institution_name,institution_relevance_score,country_code,type,institution_cited_by_count,institution_main_research_field,issn,journal_display_name,journal_publisher,journal_relevance_score,journal_cited_count,main_research_field
ug7v899j,Tariq A Madani,"Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia",no-cc,2001-07-04,BMC Infect Dis,3129.8774,88,5115,King Abdulaziz University,Medicine,King Abdulaziz University,79588.664,SA,education,1842725,Biology,,,,,,
ug7v899j,Aisha A Al-Ghamdi,"Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia",no-cc,2001-07-04,BMC Infect Dis,513.43524,23,102,King Abdulaziz University,Medicine,King Abdulaziz University,79588.664,SA,education,1842725,Biology,,,,,,
ajafw966,Oswaldo G Cruz,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,1,0,Unknown,Psychology,,,,,,,,,,,,
ajafw966,Oswaldo G Cruz,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,1,0,Unknown,Psychology,,,,,,,,,,,,
soi3bn6y,Luis F Schulz,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,360.99106,1,97,Unknown,Psychology,,,,,,,,,,,,
soi3bn6y,Marcelo B Gazzana,Mortality among patients with tuberculosis requiring intensive care: a retrospective cohort study,cc-by,2010-03-07,BMC Infect Dis,86.766556,1,3,Unknown,Psychology,,,,,,,,,,,,
d37u3qbd,Richard Marquet,"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",cc-by,2007-11-30,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Sonia MO Zagne,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Elzinandes L Azeredo,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Rita MR Nogueira,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Patricia T Bozza,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
ajafw966,Claire F Kubelka,Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,cc-by,2008-06-25,BMC Infect Dis,,,,,,,,,,,,,,,,,
0ybn2igj,Felix Neto,"Initial psychological responses to Influenza A, H1N1 (""Swine flu"")",cc-by,2009-10-06,BMC Infect Dis,,,,,,,,,,,,,,,,,
gbdaad4l,Alexander NJ White,"Let the sun shine in: effects of ultraviolet radiation on invasive pneumococcal disease risk in Philadelphia, Pennsylvania",cc-by,2009-12-04,BMC Infect Dis,,,,,,,,,,,,,,,,,
